region,edu,sex,agest,lf_rate,lf_rate_goal
BG,e5,f,40,0.883985837,0.894912017
BG,e6,f,40,0.938597865,0.957699838
BG,e1,m,40,0.719979899,0.864867597
BG,e2,m,40,0.719979899,0.864867597
BG,e3,m,40,0.719979899,0.864867597
BG,e4,m,40,0.719979899,0.864867597
BG,e5,m,40,0.929178882,0.962069906
BG,e6,m,40,0.97206658,0.982638661
BG,e1,f,45,0.591033367,0.766627337
BG,e2,f,45,0.591033367,0.766627337
BG,e3,f,45,0.591033367,0.766627337
BG,e4,f,45,0.591033367,0.766627337
BG,e5,f,45,0.88380431,0.900206478
BG,e6,f,45,0.958810745,0.95567956
BG,e1,m,45,0.683691178,0.858912678
BG,e2,m,45,0.683691178,0.858912678
BG,e3,m,45,0.683691178,0.858912678
BG,e4,m,45,0.683691178,0.858912678
BG,e5,m,45,0.909154535,0.95550404
BG,e6,m,45,0.968772628,0.969299384
BG,e1,f,50,0.561332052,0.727647977
BG,e2,f,50,0.561332052,0.727647977
BG,e3,f,50,0.561332052,0.727647977
BG,e4,f,50,0.561332052,0.727647977
BG,e5,f,50,0.841776746,0.898176216
BG,e6,f,50,0.941583154,0.943335721
BG,e1,m,50,0.672495259,0.877024819
BG,e2,m,50,0.672495259,0.877024819
BG,e3,m,50,0.672495259,0.877024819
BG,e4,m,50,0.672495259,0.877024819
BG,e5,m,50,0.850322522,0.931208125
BG,e6,m,50,0.931852435,0.972464329
BG,e1,f,55,0.467567873,0.722406023
BG,e2,f,55,0.467567873,0.722406023
BG,e3,f,55,0.467567873,0.722406023
BG,e4,f,55,0.467567873,0.722406023
BG,e5,f,55,0.767755295,0.867767088
BG,e6,f,55,0.910830319,0.932138931
BG,e1,m,55,0.609151666,0.848878184
BG,e2,m,55,0.609151666,0.848878184
BG,e3,m,55,0.609151666,0.848878184
BG,e4,m,55,0.609151666,0.848878184
BG,e5,m,55,0.775938291,0.912073023
BG,e6,m,55,0.860817195,0.948181296
BG,e1,f,60,0.253917321,0.602966457
BG,e2,f,60,0.253917321,0.602966457
BG,e3,f,60,0.253917321,0.602966457
BG,e4,f,60,0.253917321,0.602966457
BG,e5,f,60,0.36200601,0.66766474
BG,e6,f,60,0.525317722,0.798278366
BG,e1,m,60,0.447534482,0.693750146
BG,e2,m,60,0.447534482,0.693750146
BG,e3,m,60,0.447534482,0.693750146
BG,e4,m,60,0.447534482,0.693750146
BG,e5,m,60,0.554372417,0.736631593
BG,e6,m,60,0.69592514,0.833440617
BG,e1,f,65,0.047597639,0.115492289
BG,e2,f,65,0.047597639,0.115492289
BG,e3,f,65,0.047597639,0.115492289
BG,e4,f,65,0.047597639,0.115492289
BG,e5,f,65,0.074424721,0.159082405
BG,e6,f,65,0.173311982,0.255672072
BG,e1,m,65,0.117435131,0.232167918
BG,e2,m,65,0.117435131,0.232167918
BG,e3,m,65,0.117435131,0.232167918
BG,e4,m,65,0.117435131,0.232167918
BG,e5,m,65,0.169319735,0.238247291
BG,e6,m,65,0.262995335,0.365426378
BG,e1,f,70,0.008942347,0.033372994
BG,e2,f,70,0.008942347,0.033372994
BG,e3,f,70,0.008942347,0.033372994
BG,e4,f,70,0.008942347,0.033372994
BG,e5,f,70,0.017575147,0.088630474
BG,e6,f,70,0.063625898,0.130024106
BG,e1,m,70,0.027181926,0.104846391
BG,e2,m,70,0.027181926,0.104846391
BG,e3,m,70,0.027181926,0.104846391
BG,e4,m,70,0.027181926,0.104846391
BG,e5,m,70,0.041652439,0.132394402
BG,e6,m,70,0.102796887,0.203497401
CN,e1,f,15,0.707492398,0.443404763
CN,e2,f,15,0.707492398,0.443404763
CN,e3,f,15,0.707492398,0.443404763
CN,e4,f,15,0.707492398,0.443404763
CN,e5,f,15,0.380856289,0.767092184
CN,e6,f,15,0.232755124,1
CN,e1,m,15,0.794841467,0.346183909
CN,e2,m,15,0.794841467,0.346183909
CN,e3,m,15,0.794841467,0.346183909
CN,e4,m,15,0.794841467,0.346183909
CN,e5,m,15,0.289794195,0.731528073
CN,e6,m,15,0.222811747,0.731528073
CN,e1,f,20,0.57645698,0.535710077
CN,e2,f,20,0.57645698,0.535710077
CN,e3,f,20,0.57645698,0.535710077
CN,e4,f,20,0.57645698,0.535710077
CN,e5,f,20,0.675484005,0.759692529
CN,e6,f,20,0.620615437,0.697649304
CN,e1,m,20,0.92038413,0.714002535
CN,e2,m,20,0.92038413,0.714002535
CN,e3,m,20,0.92038413,0.714002535
CN,e4,m,20,0.92038413,0.714002535
CN,e5,m,20,0.861585338,0.807033397
CN,e6,m,20,0.635057441,0.588001503
CN,e1,f,25,0.583097015,0.593883189
CN,e2,f,25,0.583097015,0.593883189
CN,e3,f,25,0.583097015,0.593883189
CN,e4,f,25,0.583097015,0.593883189
CN,e5,f,25,0.709507972,0.848603955
CN,e6,f,25,0.880433144,0.859228037
CN,e1,m,25,0.916688878,0.75950542
CN,e2,m,25,0.916688878,0.75950542
CN,e3,m,25,0.916688878,0.75950542
CN,e4,m,25,0.916688878,0.75950542
CN,e5,m,25,0.9715085,0.931559481
